participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10011,Malaysia,magnitude,9 | 8,1,TRUE,incongruent,0.6527,-0.18528638730402336
10011,Malaysia,magnitude,8 | 6,2,TRUE,congruent,0.5119,-0.29081487044975457
10011,Malaysia,magnitude,9 | 7,2,TRUE,neutral,0.4494,-0.3473669319168899
10011,Malaysia,magnitude,1 | 3,2,TRUE,neutral,0.539,-0.2684112348132613
10011,Malaysia,magnitude,8 | 9,1,TRUE,congruent,0.5328,-0.2734357838377553
10011,Malaysia,magnitude,6 | 8,2,TRUE,incongruent,0.5679,-0.24572813131654084
10011,Malaysia,magnitude,3 | 1,2,TRUE,incongruent,0.4546,-0.342370568611048
10011,Malaysia,magnitude,7 | 2,5,TRUE,neutral,0.4655,-0.33208031468263854
10011,Malaysia,magnitude,1 | 2,1,TRUE,incongruent,0.4837,-0.31542391261154473
10011,Malaysia,magnitude,6 | 8,2,TRUE,congruent,0.5473,-0.26177455185749493
10011,Malaysia,magnitude,6 | 7,1,TRUE,incongruent,0.5259,-0.2790968291865426
10011,Malaysia,magnitude,9 | 7,2,TRUE,incongruent,0.4697,-0.3281794398167511
10011,Malaysia,magnitude,3 | 4,1,TRUE,incongruent,0.5379,-0.2692984557181547
10011,Malaysia,magnitude,6 | 7,1,TRUE,congruent,0.5694,-0.2445825371890637
10011,Malaysia,magnitude,7 | 6,1,TRUE,neutral,0.5003,-0.3007694971165909
10011,Malaysia,magnitude,4 | 9,5,TRUE,neutral,0.4986,-0.3022477258322454
10011,Malaysia,magnitude,3 | 8,5,TRUE,neutral,0.4759,-0.3224842952012425
10011,Malaysia,magnitude,4 | 3,1,TRUE,incongruent,0.407,-0.39040559077478
10011,Malaysia,magnitude,6 | 7,1,TRUE,neutral,0.5207,-0.2834124223243076
10011,Malaysia,magnitude,2 | 4,2,TRUE,incongruent,0.5665,-0.24680008580058393
10011,Malaysia,magnitude,2 | 4,2,TRUE,neutral,0.4149,-0.382056565171027
10011,Malaysia,magnitude,2 | 1,1,TRUE,congruent,0.5258,-0.27917941822965603
10011,Malaysia,magnitude,8 | 6,2,TRUE,neutral,0.5318,-0.27425166700445175
10011,Malaysia,magnitude,6 | 8,2,TRUE,neutral,0.5948,-0.2256290401500834
10012,Malaysia,magnitude,9 | 4,5,TRUE,incongruent,1.1925,0.0764583877121515
10012,Malaysia,magnitude,2 | 1,1,TRUE,incongruent,0.6754,-0.17043894370060728
10012,Malaysia,magnitude,3 | 1,2,TRUE,incongruent,0.5891,-0.22981097726400673
10012,Malaysia,magnitude,7 | 6,1,TRUE,neutral,0.8434,-0.07396640332115532
10012,Malaysia,magnitude,4 | 3,1,TRUE,neutral,0.5483,-0.2609817541165191
10012,Malaysia,magnitude,4 | 9,5,TRUE,neutral,0.5824,-0.2347786336950192
10012,Malaysia,magnitude,2 | 7,5,TRUE,incongruent,0.7417,-0.12977172098820555
10012,Malaysia,magnitude,2 | 1,1,TRUE,congruent,0.5953,-0.22526411744824662
10012,Malaysia,magnitude,3 | 8,5,TRUE,neutral,0.6352,-0.19708951058096016
