participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10012,Malaysia,physical,3 | 4,1,FALSE,incongruent,0.6146,-0.21140744407964057
10012,Malaysia,physical,7 | 2,5,TRUE,incongruent,0.8884,-0.05139145012356367
10012,Malaysia,physical,9 | 4,5,TRUE,incongruent,0.8113,-0.09081852402214716
10012,Malaysia,physical,7 | 9,2,TRUE,incongruent,0.7624,-0.11781711236973003
10012,Malaysia,physical,8 | 9,1,TRUE,incongruent,0.9822,-0.007800070204414945
10012,Malaysia,physical,1 | 3,2,TRUE,incongruent,1.0774,0.032376971209936094
10012,Malaysia,physical,1 | 2,1,TRUE,incongruent,0.5328,-0.2734357838377553
10012,Malaysia,physical,6 | 8,2,TRUE,congruent,0.6139,-0.21190236661970266
10012,Malaysia,physical,4 | 3,1,TRUE,congruent,0.4775,-0.32102662408023486
10012,Malaysia,physical,1 | 2,1,TRUE,congruent,0.5457,-0.263046046216854
10012,Malaysia,physical,8 | 3,5,TRUE,incongruent,0.9441,-0.024982002367117243
10012,Malaysia,physical,9 | 4,5,TRUE,congruent,0.4951,-0.30530707366851595
10012,Malaysia,physical,9 | 7,2,TRUE,congruent,0.5137,-0.28929043427566276
10012,Malaysia,physical,8 | 9,1,TRUE,congruent,0.4344,-0.3621101834192095
10012,Malaysia,physical,4 | 2,2,TRUE,congruent,0.6118,-0.21339052735134012
10012,Malaysia,physical,4 | 3,1,TRUE,incongruent,1.1807,0.07213956323974022
10012,Malaysia,physical,6 | 7,1,TRUE,incongruent,0.7889,-0.10297804393963661
10012,Malaysia,physical,3 | 1,2,TRUE,congruent,1.0481,0.020402720983878152
10012,Malaysia,physical,1 | 3,2,TRUE,congruent,0.414,-0.3829996588791011
10012,Malaysia,physical,2 | 7,5,TRUE,incongruent,0.6312,-0.1998330097986361
10012,Malaysia,physical,9 | 8,1,TRUE,congruent,0.5365,-0.27043027369803013
10012,Malaysia,physical,3 | 4,1,TRUE,congruent,0.4669,-0.3307761260691942
10012,Malaysia,physical,4 | 9,5,TRUE,incongruent,0.8323,-0.07972010536705157
10012,Malaysia,physical,8 | 6,2,TRUE,incongruent,0.5744,-0.24078556876575605
10012,Malaysia,physical,2 | 7,5,TRUE,congruent,0.4202,-0.37654395193006623
10012,Malaysia,physical,2 | 1,1,TRUE,incongruent,0.3331,-0.4774253673088232
10012,Malaysia,physical,3 | 8,5,TRUE,incongruent,0.5473,-0.26177455185749493
10012,Malaysia,physical,2 | 4,2,FALSE,incongruent,0.3324,-0.47833898488792664
10012,Malaysia,physical,6 | 1,5,TRUE,incongruent,1.2136,0.08407556777867409
10012,Malaysia,physical,6 | 8,2,TRUE,incongruent,0.7952,-0.0995236286107431
10012,Malaysia,physical,3 | 8,5,TRUE,congruent,0.5162,-0.2871819997921499
10012,Malaysia,physical,4 | 9,5,TRUE,congruent,0.5009,-0.30024896831048564
10012,Malaysia,physical,8 | 3,5,TRUE,congruent,0.4832,-0.3158730743869246
10012,Malaysia,physical,1 | 6,5,TRUE,congruent,0.4673,-0.33040421897568667
10012,Malaysia,physical,6 | 7,1,TRUE,congruent,0.6848,-0.1644362483309032
10012,Malaysia,physical,1 | 6,5,TRUE,incongruent,0.6981,-0.1560823619936076
10012,Malaysia,physical,7 | 6,1,TRUE,incongruent,0.6047,-0.21846003139405828
10012,Malaysia,physical,9 | 7,2,TRUE,incongruent,0.5481,-0.26114019792779974
10012,Malaysia,physical,4 | 2,2,TRUE,incongruent,0.7216,-0.14170347546611467
10012,Malaysia,physical,2 | 4,2,TRUE,congruent,0.4658,-0.3318005158013381
10012,Malaysia,physical,8 | 6,2,TRUE,congruent,0.4695,-0.3283644033978703
10012,Malaysia,physical,9 | 8,1,TRUE,incongruent,0.7684,-0.11441264381034398
10012,Malaysia,physical,7 | 9,2,TRUE,congruent,0.5865,-0.23173198354845193
10012,Malaysia,physical,7 | 2,5,TRUE,congruent,0.5164,-0.2870137664056173
10012,Malaysia,physical,6 | 1,5,TRUE,congruent,0.4989,-0.3019864960608183
10013,Malaysia,physical,9 | 7,2,TRUE,congruent,1.0672,0.028245816572473718
10013,Malaysia,physical,4 | 9,5,TRUE,incongruent,0.6663,-0.1763301867318636
10013,Malaysia,physical,7 | 2,5,TRUE,congruent,0.5506,-0.25916379294268854
10013,Malaysia,physical,3 | 1,2,TRUE,congruent,0.5832,-0.23418248469008177
10013,Malaysia,physical,9 | 4,5,TRUE,incongruent,0.6006,-0.22141467213703772
10013,Malaysia,physical,3 | 4,1,TRUE,incongruent,0.4741,-0.32413004468104334
10013,Malaysia,physical,7 | 2,5,TRUE,incongruent,0.9007,-0.04541983725624268
10013,Malaysia,physical,7 | 9,2,TRUE,incongruent,0.6498,-0.18722029299103599
10013,Malaysia,physical,1 | 3,2,TRUE,congruent,0.6167,-0.20992605157369523
10013,Malaysia,physical,2 | 1,1,TRUE,congruent,0.7012,-0.15415809257824264
10013,Malaysia,physical,2 | 1,1,TRUE,incongruent,0.6259,-0.20349504844670377
10013,Malaysia,physical,2 | 7,5,TRUE,congruent,0.6005,-0.22148698826107513
10013,Malaysia,physical,6 | 1,5,TRUE,incongruent,0.984,-0.007004901568658489
10013,Malaysia,physical,2 | 7,5,TRUE,incongruent,0.6497,-0.18728713323463128
10013,Malaysia,physical,4 | 3,1,TRUE,congruent,1.5008,0.17632282103498922
10013,Malaysia,physical,1 | 2,1,TRUE,congruent,0.5825,-0.2347040703019434
10013,Malaysia,physical,7 | 9,2,TRUE,congruent,0.6172,-0.20957408260888935
10013,Malaysia,physical,4 | 9,5,TRUE,congruent,0.5003,-0.3007694971165909
10013,Malaysia,physical,6 | 8,2,TRUE,congruent,0.4666,-0.33105526554226616
10013,Malaysia,physical,1 | 6,5,TRUE,incongruent,0.8844,-0.05335126609332372
10013,Malaysia,physical,9 | 8,1,TRUE,incongruent,0.5342,-0.27229611631464595
10013,Malaysia,physical,6 | 8,2,TRUE,incongruent,0.5234,-0.28116628169613783
10013,Malaysia,physical,7 | 6,1,TRUE,incongruent,0.6336,-0.19818483141856288
10013,Malaysia,physical,8 | 9,1,TRUE,incongruent,0.7005,-0.15459186037820657
10013,Malaysia,physical,8 | 9,1,TRUE,congruent,0.6546,-0.18402399902801453
10013,Malaysia,physical,6 | 1,5,TRUE,congruent,0.4675,-0.33021838479146337
10013,Malaysia,physical,2 | 4,2,TRUE,incongruent,0.6509,-0.18648572845811687
10013,Malaysia,physical,8 | 3,5,TRUE,incongruent,1.0335,0.014310480963307093
10013,Malaysia,physical,3 | 8,5,TRUE,congruent,0.634,-0.1979107421182673
10013,Malaysia,physical,8 | 6,2,TRUE,congruent,0.55,-0.2596373105057561
10013,Malaysia,physical,4 | 2,2,TRUE,congruent,0.5759,-0.2396529214700937
10013,Malaysia,physical,9 | 4,5,TRUE,congruent,0.5819,-0.23515164280658923
10013,Malaysia,physical,4 | 3,1,TRUE,incongruent,0.6339,-0.19797924822802418
10013,Malaysia,physical,3 | 1,2,TRUE,incongruent,0.9166,-0.03782014709123221
10013,Malaysia,physical,1 | 3,2,TRUE,incongruent,0.5509,-0.25892722762667864
10013,Malaysia,physical,1 | 2,1,TRUE,incongruent,0.6676,-0.1754836719927909
10013,Malaysia,physical,4 | 2,2,TRUE,incongruent,0.6002,-0.2217040089111662
10013,Malaysia,physical,7 | 6,1,TRUE,congruent,0.5671,-0.2463403527140013
10013,Malaysia,physical,6 | 7,1,TRUE,incongruent,0.4175,-0.37934352018037915
10013,Malaysia,physical,9 | 8,1,TRUE,congruent,0.7169,-0.14454141961396394
10013,Malaysia,physical,8 | 6,2,TRUE,incongruent,0.5508,-0.259006068415114
10013,Malaysia,physical,9 | 7,2,TRUE,incongruent,0.7147,-0.14587621789883293
10013,Malaysia,physical,3 | 4,1,TRUE,congruent,0.6002,-0.2217040089111662
10013,Malaysia,physical,1 | 6,5,TRUE,congruent,0.551,-0.2588484011482149
10013,Malaysia,physical,6 | 7,1,TRUE,congruent,0.6337,-0.19811629287476037
10013,Malaysia,physical,8 | 3,5,TRUE,congruent,0.649,-0.18775530319963074
10013,Malaysia,physical,3 | 8,5,TRUE,incongruent,0.7177,-0.14405705376768396
10013,Malaysia,physical,2 | 4,2,TRUE,congruent,0.5507,-0.2590849235187175
10014,Malaysia,physical,4 | 3,1,TRUE,incongruent,1.2752,0.1055783040520371
10014,Malaysia,physical,9 | 7,2,TRUE,congruent,1.058,0.024485667699166973
10014,Malaysia,physical,9 | 7,2,TRUE,incongruent,0.967,-0.014573525916998339
10014,Malaysia,physical,8 | 3,5,TRUE,congruent,0.6503,-0.1868862459921014
10014,Malaysia,physical,3 | 4,1,TRUE,incongruent,1.2842,0.10863266558047581
10014,Malaysia,physical,2 | 7,5,TRUE,incongruent,2.7034,0.4319103094576327
10014,Malaysia,physical,1 | 2,1,TRUE,incongruent,0.8836,-0.05374429280060265
10014,Malaysia,physical,7 | 2,5,TRUE,incongruent,1.1525,0.06164093406168578
10014,Malaysia,physical,1 | 6,5,TRUE,incongruent,1.3691,0.13643517045838255
10014,Malaysia,physical,2 | 1,1,TRUE,congruent,0.6707,-0.1734716936593485
10014,Malaysia,physical,9 | 4,5,TRUE,congruent,0.5519,-0.2581396059347365
10014,Malaysia,physical,7 | 2,5,TRUE,congruent,0.7678,-0.11475189221861384
10014,Malaysia,physical,7 | 6,1,TRUE,incongruent,0.7504,-0.12470717462899197
10014,Malaysia,physical,3 | 8,5,TRUE,congruent,0.7682,-0.11452569717084266
10014,Malaysia,physical,9 | 8,1,TRUE,congruent,0.6246,-0.20439802010582017
10014,Malaysia,physical,6 | 8,2,TRUE,incongruent,0.7235,-0.1405614645449437
10014,Malaysia,physical,7 | 9,2,TRUE,congruent,0.6839,-0.16500739626697014
10014,Malaysia,physical,3 | 8,5,TRUE,incongruent,0.5046,-0.29705275381844415
10014,Malaysia,physical,9 | 8,1,TRUE,incongruent,0.6221,-0.2061397986573304
10014,Malaysia,physical,4 | 9,5,TRUE,congruent,0.7619,-0.11810202642698872
10014,Malaysia,physical,4 | 3,1,TRUE,congruent,0.4678,-0.3299397825268658
10014,Malaysia,physical,3 | 1,2,TRUE,incongruent,0.62,-0.20760831050174613
10014,Malaysia,physical,6 | 7,1,TRUE,incongruent,0.6179,-0.2090818047854217
10014,Malaysia,physical,1 | 2,1,TRUE,congruent,0.542,-0.266000713461613
10014,Malaysia,physical,2 | 4,2,TRUE,congruent,0.7097,-0.1489251947711131
10014,Malaysia,physical,2 | 7,5,TRUE,congruent,0.9652,-0.015382686763251807
10014,Malaysia,physical,4 | 9,5,TRUE,incongruent,0.554,-0.2564902352715702
10014,Malaysia,physical,3 | 4,1,TRUE,congruent,0.4866,-0.31282789540520034
10014,Malaysia,physical,8 | 3,5,TRUE,incongruent,0.9486,-0.022916879684147323
10014,Malaysia,physical,8 | 9,1,TRUE,congruent,0.6845,-0.1646265475299912
10014,Malaysia,physical,8 | 6,2,TRUE,congruent,0.5517,-0.25829701604226013
10014,Malaysia,physical,8 | 6,2,TRUE,incongruent,0.5009,-0.30024896831048564
10014,Malaysia,physical,9 | 4,5,TRUE,incongruent,0.7899,-0.10242788617426937
10014,Malaysia,physical,2 | 1,1,TRUE,incongruent,0.6828,-0.16570648755730402
10014,Malaysia,physical,4 | 2,2,TRUE,congruent,0.4188,-0.37799332699319527
10014,Malaysia,physical,3 | 1,2,TRUE,congruent,0.6176,-0.20929271267232025
10014,Malaysia,physical,7 | 6,1,TRUE,congruent,0.6674,-0.17561379768122606
10014,Malaysia,physical,6 | 7,1,TRUE,congruent,0.6507,-0.18661919326614435
10014,Malaysia,physical,6 | 8,2,TRUE,congruent,0.6823,-0.1660246287200938
10014,Malaysia,physical,1 | 6,5,TRUE,congruent,0.6704,-0.1736659943777799
10014,Malaysia,physical,7 | 9,2,TRUE,incongruent,0.7882,-0.10336356947041574
10014,Malaysia,physical,1 | 3,2,TRUE,incongruent,0.6262,-0.20328693671910356
10014,Malaysia,physical,6 | 1,5,TRUE,congruent,0.5175,-0.2860896458710447
10014,Malaysia,physical,1 | 3,2,TRUE,congruent,0.4668,-0.33086915262666744
10014,Malaysia,physical,2 | 4,2,TRUE,incongruent,1.0006,2.6049854739031814e-4
10014,Malaysia,physical,8 | 9,1,TRUE,incongruent,0.4241,-0.3725317275402904
10014,Malaysia,physical,4 | 2,2,TRUE,incongruent,0.7822,-0.10668218838388811
10014,Malaysia,physical,6 | 1,5,FALSE,incongruent,0.4034,-0.3942641061232534
10015,Malaysia,physical,6 | 7,1,TRUE,congruent,0.5307,-0.2751509123706145
10015,Malaysia,physical,9 | 4,5,TRUE,incongruent,0.4627,-0.3347005005001029
10015,Malaysia,physical,3 | 8,5,TRUE,incongruent,0.6467,-0.1892971390528832
10015,Malaysia,physical,3 | 4,1,TRUE,congruent,0.3912,-0.4076011538844362
10015,Malaysia,physical,4 | 3,1,TRUE,congruent,0.4294,-0.3671379598997701
10015,Malaysia,physical,2 | 7,5,TRUE,congruent,0.4169,-0.37996810487370264
10015,Malaysia,physical,7 | 6,1,TRUE,incongruent,0.5188,-0.2850000325879575
10015,Malaysia,physical,8 | 6,2,TRUE,incongruent,0.5054,-0.2963647624161041
