participant,group,stroopResp.rt,stroopResp.corr,stroopCond,displayProblem,numDistance,Dims
10010,CAB,0.7946,1,physical,7 | 9,2,incongruent
10010,CAB,0.4978,1,physical,6 | 6,0,neutral
10010,CAB,0.4634,1,physical,6 | 8,2,incongruent
10010,CAB,0.4448,1,physical,7 | 6,1,incongruent
10010,CAB,0.5361,1,physical,8 | 9,1,congruent
10010,CAB,0.5191,1,physical,1 | 3,2,incongruent
10010,CAB,0.4957,1,physical,3 | 1,2,incongruent
10010,CAB,0.464,1,physical,2 | 1,1,congruent
10010,CAB,0.5467,1,physical,6 | 1,5,incongruent
10010,CAB,0.5189,1,physical,6 | 8,2,congruent
10010,CAB,0.4278,1,physical,9 | 9,0,neutral
10010,CAB,0.5025,1,physical,2 | 2,0,neutral
10010,CAB,0.5126,1,physical,4 | 4,0,neutral
10010,CAB,0.7286,1,physical,6 | 7,1,congruent
10010,CAB,0.4815,1,physical,3 | 8,5,incongruent
10010,CAB,0.4455,1,physical,9 | 4,5,incongruent
10010,CAB,0.6113,1,magnitude,2 | 7,5,incongruent
10010,CAB,0.5611,1,magnitude,9 | 4,5,incongruent
10010,CAB,0.4647,1,magnitude,3 | 8,5,congruent
10010,CAB,0.6782,1,magnitude,7 | 9,2,incongruent
10010,CAB,0.5338,1,magnitude,7 | 2,5,incongruent
10010,CAB,0.6459,1,magnitude,2 | 1,1,congruent
10010,CAB,0.6197,1,magnitude,1 | 2,1,congruent
10010,CAB,0.6097,1,magnitude,1 | 6,5,neutral
10010,CAB,0.6775,1,magnitude,8 | 9,1,incongruent
10010,CAB,0.6453,1,magnitude,7 | 2,5,congruent
10010,CAB,0.5445,1,magnitude,7 | 2,5,neutral
10010,CAB,0.718,1,magnitude,3 | 1,2,congruent
10010,CAB,0.6277,1,magnitude,9 | 7,2,congruent
10010,CAB,0.6325,1,magnitude,7 | 9,2,congruent
10010,CAB,0.9178,1,magnitude,9 | 8,1,congruent
10010,CAB,0.4371,1,magnitude,1 | 6,5,incongruent
10010,CAB,0.6452,1,magnitude,3 | 8,5,incongruent
10010,CAB,0.6283,1,magnitude,2 | 1,1,neutral
10010,CAB,0.5951,1,magnitude,7 | 6,1,congruent
10010,CAB,0.5129,1,magnitude,6 | 8,2,congruent
10010,CAB,0.6284,1,magnitude,6 | 7,1,neutral
10010,CAB,0.5781,1,magnitude,8 | 9,1,congruent
10010,CAB,0.7107,1,magnitude,4 | 3,1,neutral
10010,CAB,0.4641,1,magnitude,4 | 2,2,neutral
10010,CAB,0.4619,1,magnitude,2 | 7,5,neutral
10010,CAB,0.4603,1,magnitude,9 | 4,5,neutral
