participant,group,n_typing,median_typing,mean_typing,acc_typing,error_rate_typing
19767,CBA,61,1.5818,1.6056131147540984,98.38709677419355,0.016129032258064526
19769,BCA,61,1.3483,1.413183606557377,98.38709677419355,0.016129032258064526
19777,CAB,61,1.35,1.551655737704918,98.38709677419355,0.016129032258064526
19779,ACB,60,1.342,1.3775666666666666,96.7741935483871,0.03225806451612905
19790,ACB,58,1.48505,1.5130655172413794,93.54838709677419,0.06451612903225808
19800,CBA,61,1.7997,1.8633081967213114,98.38709677419355,0.016129032258064526
19803,BAC,58,1.2933,1.3242793103448276,93.54838709677419,0.0645161290322581
19808,BCA,61,1.6326,1.6816688524590164,98.38709677419355,0.016129032258064526
19814,ABC,61,1.383,1.3972950819672132,98.38709677419355,0.016129032258064526
19815,CAB,56,1.4149500000000002,1.5010571428571429,90.32258064516128,0.0967741935483871
