participant,group,n_fluency,n_wrong,acc_fluency,composite_fluency,median_fluency,mean_fluency
414654074748,CAB,26,1,43.333333333333336,42.5,2.71625,3.4301307692307694
458214205270,CAB,49,2,81.66666666666667,80,1.6342,1.778995918367347
483748594322,ACB,22,1,36.666666666666664,35.833333333333336,2.8582,3.62405
484025127976,BAC,49,2,81.66666666666667,80,1.702,1.788461224489796
501104472111,BCA,33,5,55.00000000000001,50.83333333333333,1.9103,2.1237363636363638
517308643925,BCA,37,2,61.66666666666667,60,1.7769,2.344943243243243
560520040965,CAB,33,3,55.00000000000001,52.5,1.6161,2.319160606060606
582545690541,BAC,42,1,70,69.16666666666667,1.97425,2.1187261904761905
604128320491,ABC,28,2,46.666666666666664,45,2.0913,3.0009857143214287
651964771235,ACB,31,1,51.66666666666667,50.83333333333333,2.5739,2.8884870967741936
675296385237,ACB,36,2,60,58.333333333333336,1.98915,2.3555944444444443
678536750213,BCA,45,1,75,74.16666666666667,1.8532,1.9707244444444445
692323212348,CBA,46,2,76.66666666666667,75,1.7367,1.8760999999999999
697608015709,BCA,38,0,63.33333333333333,63.33333333333333,2.0986000000000002,2.366857894736842
730858445772,CBA,45,2,75,73.33333333333333,1.8389,1.9314977777777778
771719516720,BCA,46,1,76.66666666666667,75.83333333333333,1.7561499999999999,1.9207956521739131
798938289447,BCA,44,5,73.33333333333333,69.16666666666667,1.68015,1.8221954545454546
822385097411,BAC,54,2,90,88.33333333333333,1.5976,1.6297537037037038
8233,ABC,35,4,58.333333333333336,55.00000000000001,1.5912,2.259162857142857
8242,CBA,50,1,83.33333333333334,82.5,1.71765,1.785684
8251,CBA,50,4,83.33333333333334,80,1.55815,1.656624
838440669607,CBA,17,6,28.333333333333332,23.333333333333332,2.4586,2.9515352941176474
848199286335,CAB,27,2,45,43.333333333333336,2.6697,3.032640740740741
8485,BAC,21,2,35,33.33333333333333,2.5173,3.8725714285714288
8488,CBA,37,5,61.66666666666667,57.49999999999999,1.8652,2.1114135135135137
8497,CBA,16,3,26.666666666666668,24.166666666666668,2.5951,4.185175
8506,CBA,50,3,83.33333333333334,80.83333333333333,1.56805,1.695494
8509,BAC,48,1,80,79.16666666666666,1.76335,1.8539520833333334
8515,ABC,43,1,71.66666666666667,70.83333333333334,1.715,2.0749534883720933
8533,ABC,42,1,70,69.16666666666667,2.1319,2.109104761904762
857677498017,CBA,51,2,85,83.33333333333334,1.6394,1.7128039215686275
8596,ABC,21,1,35,34.166666666666664,2.5303,3.3346190476190474
8644,BCA,27,3,45,42.5,2.1537,3.045666666666667
8665,BAC,24,1,40,39.166666666666664,2.4541,3.477925
8668,CAB,33,8,55.00000000000001,48.333333333333336,2.0333,2.2805848484848483
8761,BAC,35,5,58.333333333333336,54.166666666666664,1.999,2.316114285714286
8767,CAB,28,1,46.666666666666664,45.83333333333333,1.8319999999999999,3.1262142857142856
8791,CAB,32,3,53.333333333333336,50.83333333333333,2.14945,2.266725
8800,ACB,29,1,48.333333333333336,47.5,2.0984,3.0895827584827584
8803,CBA,49,3,81.66666666666667,79.16666666666666,1.5394,1.7130224489795918
8812,ABC,44,2,73.33333333333333,71.66666666666667,1.8569499999999999,1.932275
8815,ACB,43,2,71.66666666666667,70,1.8818,2.000546511627907
8824,CBA,29,4,48.333333333333336,45,1.9328,2.790486206896552
8827,ACB,28,3,46.666666666666664,44.166666666666664,2.48495,2.9697392857142857
8833,BAC,43,1,71.66666666666667,70.83333333333334,1.7319,2.0885744186046513
8842,CAB,37,6,61.66666666666667,56.666666666666664,1.8,1.9262162162162162
8845,BCA,43,1,71.66666666666667,70.83333333333334,1.827,2.0673651162790696
8857,CAB,40,4,66.66666666666666,63.33333333333333,1.627,2.0978975
8863,CAB,31,1,51.66666666666667,50.83333333333333,2.5132,2.894035483870968
8866,BCA,39,1,65,64.16666666666667,2.0973,2.2528615384615382
8875,CBA,22,3,36.666666666666664,34.166666666666664,2.31645,3.3136318181818183
8896,ACB,35,4,58.333333333333336,55.00000000000001,1.8632,2.0731314285714286
8902,CAB,30,3,50,47.5,2.4176,2.7980966666666665
8917,BCA,38,1,63.33333333333333,62.5,2.0256999999999996,2.3353605263157893
8926,CAB,28,4,46.666666666666664,43.333333333333336,2.2733999999999996,2.7101892857142857
8929,CAB,39,1,65,64.16666666666667,2.0771,2.2953333333333332
8932,CBA,39,1,65,64.16666666666667,2.0831,2.195646153846154
8935,CAB,30,4,50,46.666666666666664,1.9658,2.6888366666666665
8953,CBA,36,2,60,58.333333333333336,2.0324999999999998,2.4570555555555553
8971,CBA,23,2,38.333333333333336,36.666666666666664,2.9555,3.553130434782609
8986,BAC,39,2,65,63.33333333333333,2.0174,2.2083923076923075
916438355576,CBA,25,5,41.66666666666667,37.5,2.3492,2.705428
933126141410,CAB,29,5,48.333333333333336,44.166666666666664,1.9418,2.700658620689655
939257332379,CAB,17,2,28.333333333333332,26.666666666666668,2.665,4.488764705882353
957558488938,CAB,30,2,50,48.333333333333336,2.0161,2.9135133333333334
