participant,group,mean_rt__P_0,mean_rt__P_1,mean_rt__P_2,mean_rt__P_5,acc__P_0,acc__P_1,acc__P_2,acc__P_5,mean_rt__P_congruent,mean_rt__P_incongruent,mean_rt__P_neutral,acc__P_congruent,acc__P_incongruent,acc__P_neutral,mean_rt__M_1,mean_rt__M_2,mean_rt__M_5,acc__M_1,acc__M_2,acc__M_5,mean_rt__M_congruent,mean_rt__M_incongruent,mean_rt__M_neutral,acc__M_congruent,acc__M_incongruent,acc__M_neutral
19694,CAB,0.690875,0.8970666666666667,0.636375,0.739625,100,93.75,100,100,0.8222916666666666,0.6842173913043478,0.690875,100,95.83333333333334,100,0.9674347826086956,0.9113749999999999,0.768375,95.83333333333334,100,100,0.789125,0.9936521739130435,0.8655,100,95.83333333333334,100
19726,CBA,0.49674166666666664,0.531675,0.4895,0.59200625,100,100,100,100,0.5074375,0.5680166666666666,0.49674166666666664,100,100,100,0.6737809523809524,0.6543826086956521,0.5574958333333333,87.5,95.83333333333334,100,0.5916173913043479,0.6656952380952381,0.6247208333333333,95.83333333333334,87.5,100
19757,ABC,0.6034583333333333,0.638375,0.70025,0.6121875,100,100,100,100,0.6383333333333333,0.6622083333333333,0.6034583333333333,100,100,100,0.7842083333333333,0.862875,0.7533333333333333,100,100,100,0.7982916666666666,0.8687083333333333,0.7334166666666666,100,100,100
19760,CBA,0.6100875,0.6060875,0.6063866666666666,0.636825,100,100,93.75,100,0.5461333333333334,0.6902260869565218,0.6100875,100,95.83333333333334,100,0.6441458333333333,0.6132818181818182,0.6449304347826087,100,91.66666666666666,95.83333333333334,0.6139166666666667,0.6872727272727273,0.6057,100,91.66666666666666,95.83333333333334
19767,CBA,0.48893333333333333,0.5162933333333334,0.49935,0.56415,100,93.75,100,100,0.5119416666666666,0.5423391304347827,0.48893333333333333,100,95.83333333333334,100,0.6044333333333334,0.5717791666666666,0.5232478260869565,87.5,100,95.83333333333334,0.5355913043478261,0.6356857142857143,0.5326041666666667,95.83333333333334,87.5,100
19769,BCA,0.5737583333333334,0.509275,0.6331,0.6610874999999999,100,100,100,100,0.5454708333333333,0.6568375,0.5737583333333334,100,100,100,0.8620739130434782,0.8873708333333333,0.7750272727272727,95.83333333333334,100,91.66666666666666,0.9267791666666667,0.8081782608695652,0.7883818181818182,100,95.83333333333334,91.66666666666666
19777,CAB,0.541375,0.5701875000000001,0.5737333333333333,0.658,100,100,93.75,100,0.5579583333333333,0.6463478260869565,0.541375,100,95.83333333333334,100,0.6817916666666667,0.6257391304347826,0.6118333333333333,100,95.83333333333334,100,0.6089583333333334,0.69525,0.6146956521739131,100,100,95.83333333333334
19779,ACB,0.5441739130434783,0.567875,0.7153125,0.6311875,95.83333333333334,100,100,100,0.6237083333333333,0.6525416666666667,0.5441739130434783,100,100,95.83333333333334,0.7294347826086957,0.7103333333333334,0.562625,95.83333333333334,100,100,0.607625,0.7358260869565217,0.6592083333333333,100,95.83333333333334,100
19790,ACB,0.5056833333333334,0.51461875,0.53295,0.52723125,100,100,100,100,0.5060833333333333,0.5437833333333333,0.5056833333333334,100,100,100,0.8371391304347826,0.7791,0.777875,95.83333333333334,100,100,0.7944043478260869,0.8121083333333333,0.7858208333333333,95.83333333333334,100,100
19800,CBA,0.8040541666666666,0.8932,0.76549375,0.67855625,100,93.75,100,100,0.6606625,0.8976913043478261,0.8040541666666666,100,95.83333333333334,100,0.787675,0.7811333333333333,0.7063826086956522,100,100,95.83333333333334,0.7073166666666667,0.7943958333333333,0.776395652173913,100,100,95.83333333333334
19803,BAC,0.5735652173913044,0.5785625,0.6426625,0.57255625,95.83333333333334,100,100,100,0.5590958333333333,0.6367583333333333,0.5735652173913044,100,100,95.83333333333334,0.5383826086956521,0.5184913043478261,0.46555,95.83333333333334,95.83333333333334,100,0.476325,0.5389272727272727,0.5080458333333333,100,91.66666666666666,100
19808,BCA,0.5735416666666666,0.641525,0.6004625,0.57485,100,100,100,100,0.5812041666666666,0.6300208333333334,0.5735416666666666,100,100,100,0.7193363636363637,0.771275,0.644725,91.66666666666666,100,100,0.670225,0.73740000000000006,0.7292166666666666,100,91.66666666666666,100
19814,ABC,0.4787391304347826,0.5117333333333334,0.5160666666666667,0.5185333333333333,95.83333333333334,93.75,93.75,93.75,0.4990869565217391,0.5325454545454545,0.4787391304347826,95.83333333333334,91.66666666666666,95.83333333333334,0.6178095238095238,0.5943181818181819,0.5899583333333334,87.5,91.66666666666666,100,0.5615,0.65875,0.5894347826086956,100,83.33333333333334,95.83333333333334
19815,CAB,0.5517458333333334,0.53188125,0.60315625,0.59834375,100,100,100,100,0.5339458333333333,0.6216416666666666,0.5517458333333334,100,100,100,1.0514272727272727,0.9114416666666667,0.8103625,91.66666666666666,100,100,0.8509583333333334,1.0292636363636363,0.8911625,100,91.66666666666666,100
19817,ABC,0.6038260869565217,0.5295,0.54638125,0.5796,95.83333333333334,87.5,100,100,0.5517521739130434,0.5538434782608695,0.6038260869565217,95.83333333333334,95.83333333333334,95.83333333333334,0.7529136363636364,0.66872857142857145,0.7044541666666667,91.66666666666666,87.5,100,0.6282583333333334,0.7759045454545455,0.7317238095238096,100,91.66666666666666,87.5
19818,BCA,0.8328333333333333,0.896375,0.996625,1.19075,100,100,100,100,0.9334583333333333,1.122375,0.8328333333333333,100,100,100,0.8181304347826087,0.7998333333333334,0.80975,95.83333333333334,100,100,0.825375,0.7958260869565218,0.8055833333333333,100,95.83333333333334,100
19821,CAB,0.5636333333333333,0.71895,0.62303125,0.6809125,100,100,100,100,0.6758833333333334,0.6727125,0.5636333333333333,100,100,100,0.7541652173913044,0.8454625,1.1061782608695652,95.83333333333334,100,95.83333333333334,0.7820083333333333,0.9618869565217392,0.9646695652173913,100,95.83333333333334,95.83333333333334
19826,CAB,0.6237291666666667,0.6196625,0.61378125,0.6814875,100,100,100,100,0.6191333333333333,0.6574875,0.6237291666666667,100,100,100,0.928225,0.8658190476190476,0.83635,100,87.5,100,0.8095833333333333,0.9460857142857143,0.8847583333333333,100,87.5,100
