participant,group,n_trial_correct,n_trial_lure,mean_rt_correct,mean_rt_lure,acc_veri,veri_performance
19248,CAB,129,95,2.9145441860465118,3.3586357894736842,77.77777777777779,0.44409160342717247
19250,BCA,125,90,2.276276,3.5352344444444443,74.65277777777779,1.2589584444444442
19263,ACB,128,109,1.85275234375,2.858534862385321,82.29166666666666,1.005782518635321
19268,BCA,140,138,2.9358785714285713,3.37668115942029,96.52777777777779,0.44080258799171856
19269,ACB,137,131,1.394061313868613,1.717285496183206,93.05555555555556,0.32322418231459293
19273,BAC,144,121,0.999448611111111,1.2376330578512398,92.01388888888889,0.23818444674012873
19281,CAB,132,112,2.292,3.0010714285714286,84.72222222222221,0.7090714285714288
19294,CAB,133,115,1.8839097744360902,2.3958173913043477,86.11111111111111,0.5119076168682575
19298,CBA,74,71,2.3974635135135136,2.748080281690141,50.34722222222222,0.35061676817662724
19308,CBA,136,125,1.6606544117647057,1.9832576,90.625,0.3226031882352942
19310,ACB,111,85,1.1793153153153153,1.847541176470588,68.05555555555556,0.6682258611552727
19326,ABC,139,123,2.1938877697841725,2.6928439024390243,90.97222222222221,0.4989561326548517
19355,BCA,128,116,2.46823125,2.699269827586207,84.72222222222221,0.23103857758620672
19363,ACB,104,104,1.7804596153846153,1.7325548076923076,72.22222222222221,-0.04790480769230765
19374,BAC,139,134,1.7378827338129497,2.09975,94.79166666666666,0.3618672661870501
19377,ABC,129,124,2.2748232558139536,2.399826612903226,87.84722222222221,0.12500335708927235
19377,CBA,134,120,2.2367776119402984,2.8371775,88.19444444444444,0.6003998880597017
19391,ABC,132,119,1.9443181818181818,2.2544050420168067,87.15277777777779,0.31008686019862486
19423,ABC,140,126,2.101809285714286,2.4238007936507935,92.36111111111111,0.32199150793650766
19424,CBA,132,107,1.4690060606060606,1.965478504672897,82.98611111111111,0.49647244406683644
19431,BCA,116,106,2.006240517241379,2.46415,77.08333333333334,0.457909482758621
19456,CBA,135,104,1.7650607407407408,2.336333653846154,82.98611111111111,0.5712729131054131
19461,CBA,112,121,3.772017857142857,4.45303305785124,80.90277777777779,0.6810152007083827
19475,CAB,140,134,2.7609914285714288,3.4612537313432834,95.13888888888889,0.7002623027718546
19480,CAB,131,126,2.9656000000000002,2.657524603174603,89.23611111111111,-0.3080753968253971
19489,ACB,139,134,3.3169928057553957,4.0674925373134325,94.79166666666666,0.7504997315580368
19492,ACB,138,138,2.169231884057971,3.079844927536232,95.83333333333334,0.9106130434782607
19493,CBA,133,108,1.6269323308270678,2.182212962962963,83.68055555555556,0.5552806321358952
19503,BCA,143,138,1.3390419580419581,1.6036057971014492,97.56944444444444,0.2645638390594911
19506,BCA,136,132,1.3791411764705883,1.5442681818181818,93.05555555555556,0.1651270053475935
19521,BCA,135,100,2.0964037037037038,2.278428,81.59722222222221,0.18202429629629613
19525,CAB,138,133,1.2934188405797102,1.5247503759398495,94.09722222222221,0.23133153536013928
19533,CBA,131,98,3.0866297709923662,3.869885714285714,79.51388888888889,0.7832559432933479
19542,ACB,135,116,2.5848940740740742,2.5101051724137933,87.15277777777779,-0.07478890166028096
19543,CAB,136,133,2.4930654411764706,2.8673308270676694,93.40277777777779,0.37426538589119884
19550,BCA,121,120,1.0542702479338844,1.2029541666666665,83.68055555555556,0.1486839187327822
19617,ABC,135,137,2.751251851851852,2.9588686131386863,94.44444444444444,0.20761676128683426
19631,CBA,136,123,1.2508867647058823,1.6702357723577235,89.93055555555556,0.41934900765184113
19641,BAC,101,78,0.8460287128712871,1.1954910256410256,62.15277777777778,0.3494623127697385
19694,CAB,143,136,1.829951048951049,2.248985294117647,96.875,0.4190342451665978
