participant,group,stroopResp.rt,stroopResp.corr,stroopCond,displayProblem,numDistance,Dims
18601,CBA,0.592,1,magnitude,4 | 3,1,congruent
18601,CBA,0.482,1,magnitude,3 | 4,1,neutral
18601,CBA,0.643,1,magnitude,2 | 1,1,neutral
18601,CBA,0.469,1,magnitude,2 | 7,5,neutral
18601,CBA,0.476,1,magnitude,4 | 9,5,neutral
18601,CBA,0.456,1,magnitude,7 | 6,1,congruent
18601,CBA,0.484,1,magnitude,9 | 7,2,congruent
18601,CBA,0.478,1,magnitude,7 | 9,2,neutral
18601,CBA,0.442,1,magnitude,8 | 3,5,incongruent
18601,CBA,0.492,1,magnitude,9 | 4,5,incongruent
18601,CBA,0.445,1,magnitude,4 | 9,5,incongruent
18601,CBA,0.403,1,magnitude,7 | 2,5,neutral
18601,CBA,0.708,1,magnitude,8 | 9,1,incongruent
18601,CBA,0.491,1,magnitude,2 | 7,5,congruent
18601,CBA,0.474,1,magnitude,4 | 3,1,neutral
18601,CBA,0.543,1,magnitude,8 | 3,5,congruent
18601,CBA,0.476,1,magnitude,9 | 4,5,neutral
18601,CBA,0.448,1,magnitude,1 | 6,5,congruent
18601,CBA,0.539,1,magnitude,3 | 8,5,neutral
18601,CBA,0.446,1,magnitude,4 | 2,2,neutral
18601,CBA,0.443,1,magnitude,6 | 1,5,incongruent
18601,CBA,0.414,1,magnitude,2 | 4,2,congruent
18601,CBA,0.525,1,magnitude,3 | 8,5,incongruent
18601,CBA,0.448,1,magnitude,4 | 9,5,congruent
18601,CBA,0.408,1,magnitude,3 | 1,2,neutral
18601,CBA,0.445,1,magnitude,7 | 9,2,congruent
18601,CBA,0.358,1,magnitude,2 | 1,1,congruent
18601,CBA,0.81,1,magnitude,9 | 8,1,congruent
18601,CBA,0.446,1,magnitude,6 | 1,5,congruent
18601,CBA,0.614,0,magnitude,3 | 1,2,incongruent
18601,CBA,0.601,1,magnitude,6 | 8,2,congruent
18601,CBA,0.625,1,magnitude,1 | 2,1,congruent
18601,CBA,0.524,0,magnitude,6 | 8,2,neutral
18601,CBA,0.625,1,magnitude,8 | 6,2,congruent
18601,CBA,0.402,1,magnitude,1 | 6,5,incongruent
18601,CBA,0.676,1,magnitude,4 | 2,2,congruent
18601,CBA,0.498,1,magnitude,8 | 9,1,neutral
18601,CBA,0.713,1,magnitude,8 | 6,2,neutral
18601,CBA,0.526,1,magnitude,1 | 3,2,incongruent
18601,CBA,0.807,1,magnitude,7 | 6,1,neutral
18601,CBA,0.482,1,magnitude,3 | 8,5,congruent
18601,CBA,0.496,1,magnitude,2 | 1,1,incongruent
18601,CBA,0.492,1,magnitude,9 | 4,5,congruent
18601,CBA,0.444,1,magnitude,7 | 2,5,congruent
18601,CBA,0.571,1,magnitude,3 | 1,2,congruent
18601,CBA,0.442,1,magnitude,1 | 6,5,neutral
18601,CBA,0.499,1,magnitude,9 | 7,2,neutral
