participant,group,mean_rt__P_0,mean_rt__P_1,mean_rt__P_2,mean_rt__P_5,acc__P_0,acc__P_1,acc__P_2,acc__P_5,mean_rt__P_congruent,mean_rt__P_incongruent,mean_rt__P_neutral,acc__P_congruent,acc__P_incongruent,acc__P_neutral,mean_rt__M_1,mean_rt__M_2,mean_rt__M_5,acc__M_1,acc__M_2,acc__M_5,mean_rt__M_congruent,mean_rt__M_incongruent,mean_rt__M_neutral,acc__M_congruent,acc__M_incongruent,acc__M_neutral
10026,BCA,0.5043,0.5125333333333333,0.49948125,0.7723687499999999,95.83333333333334,93.75,100,100,0.6736083333333333,0.5161304347826087,0.5043,100,95.83333333333334,95.83333333333334,0.7063521739130435,0.6796458333333333,0.711275,95.83333333333334,100,100,0.6382708333333333,0.7408391304347826,0.7196,100,95.83333333333334,100
10027,CAB,0.4397875,0.42995625,0.4847071428571429,0.41784,100,100,87.5,93.75,0.42830434782608695,0.4582636363636364,0.4397875,95.83333333333334,91.66666666666666,100,0.5221476190476191,0.4908375,0.44448333333333334,87.5,100,100,0.4477291666666667,0.5097545454545455,0.49794347826086954,100,91.66666666666666,95.83333333333334
10028,CAB,0.5689166667083333,0.6656562498749999,0.6158999998,0.5772125001875,100,100,93.75,100,0.6247500001666667,0.6143652171304348,0.5689166667083333,100,95.83333333333334,100,0.7315652174782609,0.71670833325,0.671804166625,95.83333333333334,100,100,0.6256521740434783,0.7543458330416667,0.7356666667916667,95.83333333333334,100,100
10029,CBA,0.4680875,0.45403125,0.47642142857142855,0.42794615384615386,100,100,87.5,81.25,0.41001739130434783,0.503365,0.4680875,95.83333333333334,83.33333333333334,100,0.5150565217391304,0.4835125,0.46199583333333333,95.83333333333334,100,100,0.435825,0.557,0.4694875,100,95.83333333333334,100
10030,BAC,0.74225,0.77818125,0.787325,0.813525,100,100,100,100,0.7360875,0.8499333333333333,0.74225,100,100,100,1.0691260869565218,0.9499625,1.1017375,95.83333333333334,100,100,0.9622041666666666,1.1943608695652175,0.9694791666666667,100,95.83333333333334,100
10031,BAC,0.5354166666666667,0.5963933333333333,0.50362,0.56611875,100,93.75,93.75,100,0.4951375,0.6215818181818182,0.5354166666666667,100,91.66666666666666,100,0.6827227272727273,0.6466583333333333,0.6266208333333333,91.66666666666666,100,100,0.5856833333333333,0.6899391304347826,0.6805913043478261,100,95.83333333333334,95.83333333333334
10032,BCA,0.5593208333333334,0.55078,0.5613875,0.58514375,100,93.75,100,100,0.548895652173913,0.5825666666666667,0.5593208333333334,95.83333333333334,100,100,0.9055047619047619,0.8865708333333333,0.8179291666666667,87.5,100,100,0.8042166666666667,0.9913428571428572,0.825175,100,87.5,100
119238710566,CAB,0.5049666666666667,0.5202875,0.49475,0.50433125,100,100,100,100,0.47665,0.5362625,0.5049666666666667,100,100,100,0.7923066666666666,0.8846466666666667,0.5707416666666667,62.5,62.5,50,0.5880041666666667,NA,0.99395,100,NA,75
134423588053,CBA,0.4780875,0.48355,0.4923375,0.47881875,100,100,100,100,0.44304166666666667,0.5267625,0.4780875,100,100,100,0.5871478260869565,0.5563727272727272,0.5479791666666667,95.83333333333334,91.66666666666666,100,0.5579875,0.6023095238095239,0.5356625,100,87.5,100
176876591960,ABC,0.4743833333333333,0.45475625,0.47024615384615387,0.53020625,100,100,81.25,100,0.4819217391304348,0.4903818181818182,0.4743833333333333,95.83333333333334,91.66666666666666,100,0.5826,0.6110454545454546,0.545475,95.83333333333334,91.66666666666666,100,0.5424,0.6359714285714286,0.56505,100,87.5,100
