participant,group,n_trial_correct,n_trial_lure,mean_rt_correct,mean_rt_lure,acc_veri,veri_performance
675296385237,ACB,69,65,1.9305710144927537,2.169503076923077,46.52777777777778,0.23893206243032328
678536750213,BCA,141,136,1.0820503546099292,1.322710294117647,96.18055555555556,0.2406599395077178
692323212348,CBA,143,139,0.8857657342657342,1.0438827338129495,97.91666666666666,0.15811699954721525
697608015709,BCA,140,140,1.2299414285714285,1.3862692857142858,97.22222222222221,0.15632785714285724
730858445772,CBA,140,130,1.0957214285714285,1.4175523076923078,93.75,0.32183087912087927
771719516720,BCA,141,138,1.1214141843971632,1.2597007246376812,96.875,0.138286540240518
798938289447,BCA,125,126,0.8789776,0.9714539682539682,87.15277777777779,0.09247636825396821
822385097411,BAC,139,127,0.8084280575539569,0.9293409448818898,92.36111111111111,0.12091288732793293
8233,ABC,142,133,1.345350704225352,1.6523353383458648,95.48611111111111,0.3069846341205127
8242,CBA,131,124,0.9110114503816794,1.1176177419354838,88.54166666666666,0.2066062915538044
8251,CBA,140,134,0.9605814285714286,1.125423880597015,95.13888888888889,0.16484245202558634
838440669607,CBA,124,101,1.7396298387096774,2.2322841584158417,78.125,0.49265431970616436
848199286335,CAB,140,135,2.2723628571428574,2.5157237037037037,95.48611111111111,0.24336084656084633
8485,BAC,132,122,2.6651128787878786,3.319804918032787,88.19444444444444,0.6546920392449085
8488,CBA,143,135,1.1754895104895104,1.377197037037037,96.52777777777779,0.20170752654752655
8497,CBA,108,91,2.5927898148148145,2.6899175824175825,69.09722222222221,0.09712776760276798
8506,CBA,137,132,0.8122912408759124,1.0260234848484848,93.40277777777779,0.2137322439725724
8509,BAC,130,128,0.8201384615384616,0.93752890625,89.58333333333334,0.11739044471153837
8515,ABC,141,141,0.881758865248227,1.130177304964539,97.91666666666666,0.24841843971631195
8533,ABC,136,129,1.1307220588235294,1.3187007751937985,92.01388888888889,0.18797871637026908
857677498017,CBA,62,39,1.2976258064516129,0.7794179487179487,35.06944444444444,-0.5182078577336642
8596,ABC,137,138,1.307507299270073,1.3388021739130436,95.48611111111111,0.03129487464297065
8644,BCA,128,111,1.5215453125,1.942254954954955,82.98611111111111,0.420709642454955
8665,BAC,140,135,2.0007442857142856,2.517817037037037,95.48611111111111,0.5170727513227513
